datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,38001,0.0,6 days,0.0
2020-01-28,38001,0.0,6 days,0.0
2020-01-29,38001,0.0,6 days,0.0
2020-01-30,38001,0.0,6 days,0.0
2020-01-31,38001,0.0,6 days,0.0
2020-02-01,38001,0.0,6 days,0.0
2020-02-02,38001,0.0,6 days,0.0
2020-02-03,38001,0.0,6 days,0.0
2020-02-04,38001,0.0,6 days,0.0
2020-02-05,38001,0.0,6 days,0.0
2020-02-06,38001,0.0,6 days,0.0
2020-02-07,38001,0.0,6 days,0.0
2020-02-08,38001,0.0,6 days,0.0
2020-02-09,38001,0.0,6 days,0.0
2020-02-10,38001,0.0,6 days,0.0
2020-02-11,38001,0.0,6 days,0.0
2020-02-12,38001,0.0,6 days,0.0
2020-02-13,38001,0.0,6 days,0.0
2020-02-14,38001,0.0,6 days,0.0
2020-02-15,38001,0.0,6 days,0.0
2020-02-16,38001,0.0,6 days,0.0
2020-02-17,38001,0.0,6 days,0.0
2020-02-18,38001,0.0,6 days,0.0
2020-02-19,38001,0.0,6 days,0.0
2020-02-20,38001,0.0,6 days,0.0
2020-02-21,38001,0.0,6 days,0.0
2020-02-22,38001,0.0,6 days,0.0
2020-02-23,38001,0.0,6 days,0.0
2020-02-24,38001,0.0,6 days,0.0
2020-02-25,38001,0.0,6 days,0.0
2020-02-26,38001,0.0,6 days,0.0
2020-02-27,38001,0.0,6 days,0.0
2020-02-28,38001,0.0,6 days,0.0
2020-02-29,38001,0.0,6 days,0.0
2020-03-01,38001,0.0,6 days,0.0
2020-03-02,38001,0.0,6 days,0.0
2020-03-03,38001,0.0,6 days,0.0
2020-03-04,38001,0.0,6 days,0.0
2020-03-05,38001,0.0,6 days,0.0
2020-03-06,38001,0.0,6 days,0.0
2020-03-07,38001,0.0,6 days,0.0
2020-03-08,38001,0.0,6 days,0.0
2020-03-09,38001,0.0,6 days,0.0
2020-03-10,38001,0.0,6 days,0.0
2020-03-11,38001,0.0,6 days,0.0
2020-03-12,38001,0.0,6 days,0.0
2020-03-13,38001,0.0,6 days,0.0
2020-03-14,38001,0.0,6 days,0.0
2020-03-15,38001,0.0,6 days,0.0
2020-03-16,38001,0.0,6 days,0.0
2020-03-17,38001,0.0,6 days,0.0
2020-03-18,38001,0.0,6 days,0.0
2020-03-19,38001,0.0,6 days,0.0
2020-03-20,38001,0.0,6 days,0.0
2020-03-21,38001,0.0,6 days,0.0
2020-03-22,38001,0.0,6 days,0.0
2020-03-23,38001,0.0,6 days,0.0
2020-03-24,38001,0.0,6 days,0.0
2020-03-25,38001,0.0,6 days,0.0
2020-03-26,38001,0.0,6 days,0.0
2020-03-27,38001,0.0,6 days,0.0
2020-03-28,38001,0.0,6 days,0.0
2020-03-29,38001,0.0,6 days,0.0
2020-03-30,38001,0.0,6 days,0.0
2020-03-31,38001,0.0,6 days,0.0
2020-04-01,38001,0.0,6 days,0.0
2020-04-02,38001,0.0,6 days,0.0
2020-04-03,38001,0.0,6 days,0.0
2020-04-04,38001,0.0,6 days,0.0
2020-04-05,38001,0.0,6 days,0.0
2020-04-06,38001,0.0,6 days,0.0
2020-04-07,38001,0.0,6 days,0.0
2020-04-08,38001,0.0,6 days,0.0
2020-04-09,38001,0.0,6 days,0.0
2020-04-10,38001,0.0,6 days,0.0
2020-04-11,38001,0.0,6 days,0.0
2020-04-12,38001,0.0,6 days,0.0
2020-04-13,38001,0.0,6 days,0.0
2020-04-14,38001,0.0,6 days,0.0
