datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-24,50001,0.0,3 days,0.0
2020-01-25,50001,0.0,3 days,0.0
2020-01-26,50001,0.0,3 days,0.0
2020-01-27,50001,0.0,3 days,0.0
2020-01-28,50001,0.0,3 days,0.0
2020-01-29,50001,0.0,3 days,0.0
2020-01-30,50001,0.0,3 days,0.0
2020-01-31,50001,0.0,3 days,0.0
2020-02-01,50001,0.0,3 days,0.0
2020-02-02,50001,0.0,3 days,0.0
2020-02-03,50001,0.0,3 days,0.0
2020-02-04,50001,0.0,3 days,0.0
2020-02-05,50001,0.0,3 days,0.0
2020-02-06,50001,0.0,3 days,0.0
2020-02-07,50001,0.0,3 days,0.0
2020-02-08,50001,0.0,3 days,0.0
2020-02-09,50001,0.0,3 days,0.0
2020-02-10,50001,0.0,3 days,0.0
2020-02-11,50001,0.0,3 days,0.0
2020-02-12,50001,0.0,3 days,0.0
2020-02-13,50001,0.0,3 days,0.0
2020-02-14,50001,0.0,3 days,0.0
2020-02-15,50001,0.0,3 days,0.0
2020-02-16,50001,0.0,3 days,0.0
2020-02-17,50001,0.0,3 days,0.0
2020-02-18,50001,0.0,3 days,0.0
2020-02-19,50001,0.0,3 days,0.0
2020-02-20,50001,0.0,3 days,0.0
2020-02-21,50001,0.0,3 days,0.0
2020-02-22,50001,0.0,3 days,0.0
2020-02-23,50001,0.0,3 days,0.0
2020-02-24,50001,0.0,3 days,0.0
2020-02-25,50001,0.0,3 days,0.0
2020-02-26,50001,0.0,3 days,0.0
2020-02-27,50001,0.0,3 days,0.0
2020-02-28,50001,0.0,3 days,0.0
2020-02-29,50001,0.0,3 days,0.0
2020-03-01,50001,0.0,3 days,0.0
2020-03-02,50001,0.0,3 days,0.0
2020-03-03,50001,0.0,3 days,0.0
2020-03-04,50001,0.0,3 days,0.0
2020-03-05,50001,0.0,3 days,0.0
2020-03-06,50001,0.0,3 days,0.0
2020-03-07,50001,0.0,3 days,0.0
2020-03-08,50001,0.0,3 days,0.0
2020-03-09,50001,0.0,3 days,0.0
2020-03-10,50001,0.0,3 days,0.0
2020-03-11,50001,0.0,3 days,0.0
2020-03-12,50001,0.0,3 days,0.0
2020-03-13,50001,0.0,3 days,0.0
2020-03-14,50001,0.0,3 days,0.0
2020-03-15,50001,0.0,3 days,0.0
2020-03-16,50001,0.0,3 days,0.0
2020-03-17,50001,0.0,3 days,0.0
2020-03-18,50001,0.0,3 days,0.0
2020-03-19,50001,0.0,3 days,0.0
2020-03-20,50001,0.0,3 days,0.0
2020-03-21,50001,0.0,3 days,0.0
2020-03-22,50001,0.0,3 days,0.0
2020-03-23,50001,5.4381814721157244,3 days,0.0
2020-03-24,50001,5.4381814721157244,3 days,0.0
2020-03-25,50001,5.4381814721157244,3 days,0.0
2020-03-26,50001,5.4381814721157244,3 days,0.0
2020-03-27,50001,2.7190907360578622,3 days,0.0
2020-03-28,50001,5.4381814721157244,3 days,0.0
2020-03-29,50001,5.4381814721157244,3 days,0.0
2020-03-30,50001,5.4381814721157244,3 days,0.0
2020-03-31,50001,5.4381814721157244,3 days,0.0
2020-04-01,50001,2.7190907360578622,3 days,0.0
2020-04-02,50001,5.4381814721157244,3 days,0.0
2020-04-03,50001,5.4381814721157244,3 days,0.0
2020-04-04,50001,5.4381814721157244,3 days,0.0
2020-04-05,50001,16.314544416347175,3 days,0.0
2020-04-06,50001,5.4381814721157244,3 days,0.0
2020-04-07,50001,16.314544416347175,3 days,0.0
2020-04-08,50001,0.0,3 days,0.0
2020-04-09,50001,8.157272208173588,3 days,0.0
2020-04-10,50001,0.0,3 days,0.0
2020-04-11,50001,8.157272208173588,3 days,0.0
2020-04-12,50001,2.7190907360578622,3 days,0.0
2020-04-13,50001,2.7190907360578622,3 days,0.0
2020-04-14,50001,2.7190907360578622,3 days,0.0
2020-04-15,50001,0.0,3 days,0.0
2020-04-16,50001,0.0,3 days,0.0
