datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-03-11,11001,0.0,3 days,0.0
2020-03-12,11001,0.0,3 days,0.0
2020-03-13,11001,0.0,3 days,0.0
2020-03-14,11001,0.0,3 days,0.0
2020-03-15,11001,0.0,3 days,0.0
2020-03-16,11001,0.0,3 days,0.0
2020-03-17,11001,0.0,3 days,0.0
2020-03-18,11001,1.2752409142627197,3 days,0.0
2020-03-19,11001,1.2752409142627197,3 days,0.0
2020-03-20,11001,1.2752409142627197,3 days,0.0
2020-03-21,11001,3.8257227427881584,3 days,0.0
2020-03-22,11001,3.8257227427881584,3 days,0.0
2020-03-23,11001,2.550481828525439,3 days,0.0
2020-03-24,11001,2.550481828525439,3 days,0.0
2020-03-25,11001,2.9755621332796784,3 days,0.0
2020-03-26,11001,6.2345111363955175,3 days,0.0
2020-03-27,11001,6.2345111363955175,3 days,0.0
2020-03-28,11001,5.667737396723198,3 days,0.14169343491807992
2020-03-29,11001,5.3843505268870375,3 days,0.14169343491807992
2020-03-30,11001,5.3843505268870375,3 days,0.14169343491807992
2020-03-31,11001,8.359912660166716,3 days,0.14169343491807992
2020-04-01,11001,12.894102577545276,3 days,0.0
2020-04-02,11001,12.894102577545276,3 days,0.0
2020-04-03,11001,12.894102577545276,3 days,0.4250803047542398
2020-04-04,11001,14.736117231480314,3 days,0.4250803047542398
2020-04-05,11001,14.736117231480314,3 days,0.4250803047542398
2020-04-06,11001,14.169343491807993,3 days,0.14169343491807992
2020-04-07,11001,14.169343491807993,3 days,0.0
2020-04-08,11001,16.153051580661113,3 days,0.0
2020-04-09,11001,16.153051580661113,3 days,0.7084671745903998
2020-04-10,11001,19.412000583776948,3 days,0.7084671745903998
2020-04-11,11001,16.71982532033343,3 days,0.8501606095084796
2020-04-12,11001,16.71982532033343,3 days,0.8501606095084796
2020-04-13,11001,13.744263187053757,3 days,0.4250803047542398
2020-04-14,11001,13.744263187053757,3 days,0.4250803047542398
2020-04-15,11001,14.594423796562236,3 days,0.7084671745903998
2020-04-16,11001,19.695387453613108,3 days,1.2752409142627197
2020-04-17,11001,19.695387453613108,3 days,0.7084671745903998
2020-04-18,11001,21.679095542466236,3 days,0.7084671745903998
2020-04-19,11001,17.995066234596152,3 days,0.7084671745903998
2020-04-20,11001,18.986920279022712,3 days,0.7084671745903998
2020-04-21,11001,18.986920279022712,3 days,0.9918540444265596
2020-04-22,11001,18.986920279022712,3 days,1.2752409142627197
2020-04-23,11001,21.962482412302393,3 days,1.7003212190169592
2020-04-24,11001,21.962482412302393,3 days,1.9837080888531191
2020-04-25,11001,23.662803631319356,3 days,1.7003212190169592
2020-04-26,11001,23.662803631319356,3 days,1.8420146539350395
2020-04-27,11001,20.12046775836735,3 days,1.7003212190169592
2020-04-28,11001,14.452730361644154,3 days,0.9918540444265596
2020-04-29,11001,14.452730361644154,3 days,0.9918540444265596
2020-04-30,11001,15.869664710824953,3 days,2.125401523771199
2020-05-01,11001,30.747475377223346,3 days,2.125401523771199
2020-05-02,11001,30.747475377223346,3 days,1.2752409142627197
2020-05-03,11001,31.030862247059503,3 days,1.2752409142627197
2020-05-04,11001,21.82078897738431,3 days,1.2752409142627197
2020-05-05,11001,21.82078897738431,3 days,0.9918540444265596
2020-05-06,11001,21.537402107548147,3 days,0.9918540444265596
2020-05-07,11001,21.537402107548147,3 days,1.1335474793446394
2020-05-08,11001,27.346832939189426,3 days,1.8420146539350395
2020-05-09,11001,28.763767288370232,3 days,1.1335474793446394
2020-05-10,11001,28.763767288370232,3 days,1.7003212190169592
2020-05-11,11001,24.087883936073588,3 days,0.9918540444265596
2020-05-12,11001,16.578131885415353,3 days,1.1335474793446394
2020-05-13,11001,14.027650056889913,3 days,1.1335474793446394
2020-05-14,11001,14.027650056889913,3 days,1.1335474793446394
2020-05-15,11001,19.12861371394079,3 days,1.4169343491807995
2020-05-16,11001,21.537402107548147,3 days,1.1335474793446394
2020-05-17,11001,19.12861371394079,3 days,1.1335474793446394
2020-05-18,11001,20.82893493295775,3 days,1.1335474793446394
2020-05-19,11001,20.82893493295775,3 days,1.1335474793446394
2020-05-20,11001,20.82893493295775,3 days,1.1335474793446394
2020-05-21,11001,23.23772332656511,3 days,0.9918540444265596
2020-05-22,11001,16.578131885415353,3 days,0.8501606095084796
2020-05-23,11001,14.877810666398394,3 days,0.8501606095084796
2020-05-24,11001,14.877810666398394,3 days,0.8501606095084796
2020-05-25,11001,16.294745015579196,3 days,1.1335474793446394
2020-05-26,11001,16.294745015579196,3 days,0.7084671745903998
2020-05-27,11001,15.444584406070714,3 days,0.7084671745903998
2020-05-28,11001,12.185635402954874,3 days,0.7084671745903998
2020-05-29,11001,10.201927314101756,3 days,0.9918540444265596
2020-05-30,11001,12.185635402954874,3 days,0.9918540444265596
2020-05-31,11001,11.902248533118716,3 days,0.5667737396723197
2020-06-01,11001,11.902248533118716,3 days,0.28338686983615985
2020-06-02,11001,7.9348323554124764,3 days,0.28338686983615985
2020-06-03,11001,7.9348323554124764,3 days,0.28338686983615985
2020-06-04,11001,14.736117231480314,3 days,0.28338686983615985
2020-06-05,11001,14.736117231480314,3 days,0.4250803047542398
2020-06-06,11001,11.193781358528316,3 days,0.5667737396723197
2020-06-07,11001,9.918540444265595,3 days,0.5667737396723197
2020-06-08,11001,8.926686399839038,3 days,0.5667737396723197
2020-06-09,11001,8.926686399839038,3 days,0.5667737396723197
2020-06-10,11001,8.926686399839038,3 days,0.5667737396723197
2020-06-11,11001,8.926686399839038,3 days,0.5667737396723197
2020-06-12,11001,8.926686399839038,3 days,0.5667737396723197
2020-06-13,11001,7.793138920494398,3 days,0.5667737396723197
2020-06-14,11001,8.218219225248637,3 days,0.5667737396723197
2020-06-15,11001,7.793138920494398,3 days,0.5667737396723197
2020-06-16,11001,4.5341899173785585,3 days,0.5667737396723197
2020-06-17,11001,4.109109612624319,3 days,0.4250803047542398
2020-06-18,11001,4.109109612624319,3 days,0.5667737396723197
2020-06-19,11001,6.942978310985918,3 days,0.4250803047542398
2020-06-20,11001,6.942978310985918,3 days,0.4250803047542398
2020-06-21,11001,5.100963657050878,3 days,0.28338686983615985
2020-06-22,11001,5.100963657050878,3 days,0.28338686983615985
2020-06-23,11001,5.100963657050878,3 days,0.28338686983615985
2020-06-24,11001,5.100963657050878,3 days,0.28338686983615985
2020-06-25,11001,4.817576787214718,3 days,0.28338686983615985
2020-06-26,11001,4.392496482460478,3 days,0.4250803047542398
2020-06-27,11001,4.392496482460478,3 days,0.28338686983615985
2020-06-28,11001,4.392496482460478,3 days,0.28338686983615985
2020-06-29,11001,4.5341899173785585,3 days,0.28338686983615985
2020-06-30,11001,4.959270222132798,3 days,0.14169343491807992
2020-07-01,11001,5.3843505268870375,3 days,0.14169343491807992
2020-07-02,11001,4.959270222132798,3 days,0.14169343491807992
2020-07-03,11001,5.3843505268870375,3 days,0.14169343491807992
2020-07-04,11001,3.5423358729519983,3 days,0.14169343491807992
2020-07-05,11001,4.959270222132798,3 days,0.28338686983615985
2020-07-06,11001,4.675883352296638,3 days,0.28338686983615985
2020-07-07,11001,4.959270222132798,3 days,0.28338686983615985
2020-07-08,11001,7.651445485576318,3 days,0.28338686983615985
2020-07-09,11001,7.651445485576318,3 days,0.4250803047542398
