datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-27,32001,0.0,6 days,0.0
2020-01-28,32001,0.0,6 days,0.0
2020-01-29,32001,0.0,6 days,0.0
2020-01-30,32001,0.0,6 days,0.0
2020-01-31,32001,0.0,6 days,0.0
2020-02-01,32001,0.0,6 days,0.0
2020-02-02,32001,0.0,6 days,0.0
2020-02-03,32001,0.0,6 days,0.0
2020-02-04,32001,0.0,6 days,0.0
2020-02-05,32001,0.0,6 days,0.0
2020-02-06,32001,0.0,6 days,0.0
2020-02-07,32001,0.0,6 days,0.0
2020-02-08,32001,0.0,6 days,0.0
2020-02-09,32001,0.0,6 days,0.0
2020-02-10,32001,0.0,6 days,0.0
2020-02-11,32001,0.0,6 days,0.0
2020-02-12,32001,0.0,6 days,0.0
2020-02-13,32001,0.0,6 days,0.0
2020-02-14,32001,0.0,6 days,0.0
2020-02-15,32001,0.0,6 days,0.0
2020-02-16,32001,0.0,6 days,0.0
2020-02-17,32001,0.0,6 days,0.0
2020-02-18,32001,0.0,6 days,0.0
2020-02-19,32001,0.0,6 days,0.0
2020-02-20,32001,0.0,6 days,0.0
2020-02-21,32001,0.0,6 days,0.0
2020-02-22,32001,0.0,6 days,0.0
2020-02-23,32001,0.0,6 days,0.0
2020-02-24,32001,0.0,6 days,0.0
2020-02-25,32001,0.0,6 days,0.0
2020-02-26,32001,0.0,6 days,0.0
2020-02-27,32001,0.0,6 days,0.0
2020-02-28,32001,0.0,6 days,0.0
2020-02-29,32001,0.0,6 days,0.0
2020-03-01,32001,0.0,6 days,0.0
2020-03-02,32001,0.0,6 days,0.0
2020-03-03,32001,0.0,6 days,0.0
2020-03-04,32001,0.0,6 days,0.0
2020-03-05,32001,0.0,6 days,0.0
2020-03-06,32001,0.0,6 days,0.0
2020-03-07,32001,0.0,6 days,0.0
2020-03-08,32001,0.0,6 days,0.0
2020-03-09,32001,0.0,6 days,0.0
2020-03-10,32001,0.0,6 days,0.0
2020-03-11,32001,0.0,6 days,0.0
2020-03-12,32001,0.0,6 days,0.0
2020-03-13,32001,0.0,6 days,0.0
2020-03-14,32001,0.0,6 days,0.0
2020-03-15,32001,0.0,6 days,0.0
2020-03-16,32001,0.0,6 days,0.0
2020-03-17,32001,0.0,6 days,0.0
2020-03-18,32001,0.0,6 days,0.0
2020-03-19,32001,0.0,6 days,0.0
2020-03-20,32001,0.0,6 days,0.0
2020-03-21,32001,0.0,6 days,0.0
2020-03-22,32001,0.0,6 days,0.0
2020-03-23,32001,0.0,6 days,0.0
2020-03-24,32001,0.0,6 days,0.0
2020-03-25,32001,0.0,6 days,0.0
2020-03-26,32001,0.0,6 days,0.0
2020-03-27,32001,0.0,6 days,0.0
2020-03-28,32001,0.0,6 days,0.0
2020-03-29,32001,0.0,6 days,0.0
2020-03-30,32001,0.0,6 days,0.0
2020-03-31,32001,0.0,6 days,0.0
2020-04-01,32001,0.0,6 days,0.0
2020-04-02,32001,0.0,6 days,0.0
2020-04-03,32001,0.0,6 days,0.0
2020-04-04,32001,0.0,6 days,0.0
2020-04-05,32001,0.0,6 days,0.0
2020-04-06,32001,0.0,6 days,0.0
2020-04-07,32001,0.0,6 days,0.0
2020-04-08,32001,0.0,6 days,0.0
2020-04-09,32001,0.0,6 days,0.0
2020-04-10,32001,0.0,6 days,0.0
2020-04-11,32001,0.0,6 days,0.0
2020-04-12,32001,0.0,6 days,0.0
2020-04-13,32001,0.0,6 days,0.0
2020-04-14,32001,0.0,6 days,0.0
2020-04-15,32001,0.0,6 days,0.0
2020-04-16,32001,0.0,6 days,0.0
2020-04-17,32001,0.0,6 days,0.0
2020-04-18,32001,0.0,6 days,0.0
2020-04-19,32001,0.0,6 days,0.0
2020-04-20,32001,0.0,6 days,0.0
2020-04-21,32001,0.0,6 days,0.0
2020-04-22,32001,0.0,6 days,0.0
2020-04-23,32001,0.0,6 days,0.0
2020-04-24,32001,0.0,6 days,0.0
2020-04-25,32001,0.0,6 days,0.0
2020-04-26,32001,0.0,6 days,0.0
2020-04-27,32001,0.0,6 days,0.0
2020-04-28,32001,0.0,6 days,0.0
2020-04-29,32001,0.0,6 days,0.0
2020-04-30,32001,0.0,6 days,0.0
