datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-24,33001,0.0,3 days,0.0
2020-01-25,33001,0.0,3 days,0.0
2020-01-26,33001,0.0,3 days,0.0
2020-01-27,33001,0.0,3 days,0.0
2020-01-28,33001,0.0,3 days,0.0
2020-01-29,33001,0.0,3 days,0.0
2020-01-30,33001,0.0,3 days,0.0
2020-01-31,33001,0.0,3 days,0.0
2020-02-01,33001,0.0,3 days,0.0
2020-02-02,33001,0.0,3 days,0.0
2020-02-03,33001,0.0,3 days,0.0
2020-02-04,33001,0.0,3 days,0.0
2020-02-05,33001,0.0,3 days,0.0
2020-02-06,33001,0.0,3 days,0.0
2020-02-07,33001,0.0,3 days,0.0
2020-02-08,33001,0.0,3 days,0.0
2020-02-09,33001,0.0,3 days,0.0
2020-02-10,33001,0.0,3 days,0.0
2020-02-11,33001,0.0,3 days,0.0
2020-02-12,33001,0.0,3 days,0.0
2020-02-13,33001,0.0,3 days,0.0
2020-02-14,33001,0.0,3 days,0.0
2020-02-15,33001,0.0,3 days,0.0
2020-02-16,33001,0.0,3 days,0.0
2020-02-17,33001,0.0,3 days,0.0
2020-02-18,33001,0.0,3 days,0.0
2020-02-19,33001,0.0,3 days,0.0
2020-02-20,33001,0.0,3 days,0.0
2020-02-21,33001,0.0,3 days,0.0
2020-02-22,33001,0.0,3 days,0.0
2020-02-23,33001,0.0,3 days,0.0
2020-02-24,33001,0.0,3 days,0.0
2020-02-25,33001,0.0,3 days,0.0
2020-02-26,33001,0.0,3 days,0.0
2020-02-27,33001,0.0,3 days,0.0
2020-02-28,33001,0.0,3 days,0.0
2020-02-29,33001,0.0,3 days,0.0
2020-03-01,33001,0.0,3 days,0.0
2020-03-02,33001,0.0,3 days,0.0
2020-03-03,33001,0.0,3 days,0.0
2020-03-04,33001,0.0,3 days,0.0
2020-03-05,33001,0.0,3 days,0.0
2020-03-06,33001,0.0,3 days,0.0
2020-03-07,33001,0.0,3 days,0.0
2020-03-08,33001,0.0,3 days,0.0
2020-03-09,33001,0.0,3 days,0.0
2020-03-10,33001,0.0,3 days,0.0
2020-03-11,33001,0.0,3 days,0.0
2020-03-12,33001,0.0,3 days,0.0
2020-03-13,33001,0.0,3 days,0.0
2020-03-14,33001,0.0,3 days,0.0
2020-03-15,33001,0.0,3 days,0.0
2020-03-16,33001,0.0,3 days,0.0
2020-03-17,33001,0.0,3 days,0.0
2020-03-18,33001,0.0,3 days,0.0
2020-03-19,33001,0.0,3 days,0.0
2020-03-20,33001,0.0,3 days,0.0
2020-03-21,33001,0.0,3 days,0.0
2020-03-22,33001,0.0,3 days,0.0
2020-03-23,33001,0.0,3 days,0.0
2020-03-24,33001,4.893724613803567,3 days,0.0
2020-03-25,33001,4.893724613803567,3 days,0.0
2020-03-26,33001,1.631241537934522,3 days,0.0
2020-03-27,33001,0.0,3 days,0.0
2020-03-28,33001,1.631241537934522,3 days,0.0
2020-03-29,33001,0.0,3 days,0.0
2020-03-30,33001,0.0,3 days,0.0
2020-03-31,33001,0.0,3 days,0.0
2020-04-01,33001,0.0,3 days,0.0
2020-04-02,33001,1.631241537934522,3 days,0.0
2020-04-03,33001,0.0,3 days,0.0
2020-04-04,33001,1.631241537934522,3 days,0.0
2020-04-05,33001,1.631241537934522,3 days,0.0
2020-04-06,33001,1.631241537934522,3 days,0.0
2020-04-07,33001,1.631241537934522,3 days,0.0
