datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-03-11,35001,0.0,3 days,0.0
2020-03-12,35001,0.14724916472911306,3 days,0.0
2020-03-13,35001,0.14724916472911306,3 days,0.0
2020-03-14,35001,0.14724916472911306,3 days,0.0
2020-03-15,35001,0.14724916472911306,3 days,0.0
2020-03-16,35001,0.14724916472911306,3 days,0.0
2020-03-17,35001,0.0,3 days,0.0
2020-03-18,35001,0.2944983294582261,3 days,0.0
2020-03-19,35001,0.2944983294582261,3 days,0.0
2020-03-20,35001,0.4417474941873392,3 days,0.0
2020-03-21,35001,0.5889966589164523,3 days,0.0
2020-03-22,35001,0.4417474941873392,3 days,0.0
2020-03-23,35001,0.8834949883746783,3 days,0.0
2020-03-24,35001,0.7362458236455653,3 days,0.0
2020-03-25,35001,0.7362458236455653,3 days,0.0
2020-03-26,35001,0.7362458236455653,3 days,0.0
2020-03-27,35001,0.7362458236455653,3 days,0.0
2020-03-28,35001,1.0307441531037915,3 days,0.0
2020-03-29,35001,1.1779933178329045,3 days,0.0
2020-03-30,35001,1.1779933178329045,3 days,0.0
2020-03-31,35001,1.1779933178329045,3 days,0.14724916472911306
2020-04-01,35001,0.0,3 days,0.14724916472911306
2020-04-02,35001,2.7977341298531484,3 days,0.14724916472911306
2020-04-03,35001,2.7977341298531484,3 days,0.14724916472911306
2020-04-04,35001,2.7977341298531484,3 days,0.0
2020-04-05,35001,6.478963248080976,3 days,0.0
2020-04-06,35001,2.355986635665809,3 days,0.0
2020-04-07,35001,6.478963248080976,3 days,0.0
2020-04-08,35001,2.355986635665809,3 days,0.0
2020-04-09,35001,2.6504849651240354,3 days,0.14724916472911306
2020-04-10,35001,2.6504849651240354,3 days,0.14724916472911306
2020-04-11,35001,2.6504849651240354,3 days,0.14724916472911306
2020-04-12,35001,4.859222436060732,3 days,0.14724916472911306
2020-04-13,35001,2.2087374709366965,3 days,0.14724916472911306
2020-04-14,35001,2.2087374709366965,3 days,0.0
2020-04-15,35001,2.2087374709366965,3 days,0.0
2020-04-16,35001,0.0,3 days,0.0
2020-04-17,35001,2.061488306207583,3 days,0.14724916472911306
2020-04-18,35001,2.061488306207583,3 days,0.14724916472911306
2020-04-19,35001,2.2087374709366965,3 days,0.14724916472911306
2020-04-20,35001,3.5339799534987133,3 days,0.14724916472911306
2020-04-21,35001,2.2087374709366965,3 days,0.0
2020-04-22,35001,3.5339799534987133,3 days,0.0
2020-04-23,35001,4.564724106602505,3 days,0.2944983294582261
2020-04-24,35001,4.564724106602505,3 days,0.2944983294582261
2020-04-25,35001,2.9449832945822614,3 days,0.2944983294582261
2020-04-26,35001,2.7977341298531484,3 days,0.0
2020-04-27,35001,2.6504849651240354,3 days,0.0
2020-04-28,35001,2.6504849651240354,3 days,0.0
2020-04-29,35001,3.9757274476860536,3 days,0.0
2020-04-30,35001,6.478963248080976,3 days,0.0
2020-05-01,35001,3.9757274476860536,3 days,0.0
2020-05-02,35001,6.773461577539202,3 days,0.14724916472911306
2020-05-03,35001,5.448219094977183,3 days,0.2944983294582261
2020-05-04,35001,5.448219094977183,3 days,0.2944983294582261
2020-05-05,35001,3.5339799534987133,3 days,0.2944983294582261
2020-05-06,35001,2.7977341298531484,3 days,0.2944983294582261
2020-05-07,35001,2.7977341298531484,3 days,0.2944983294582261
2020-05-08,35001,2.6504849651240354,3 days,0.14724916472911306
2020-05-09,35001,2.9449832945822614,3 days,0.14724916472911306
2020-05-10,35001,2.9449832945822614,3 days,0.14724916472911306
2020-05-11,35001,2.9449832945822614,3 days,0.14724916472911306
2020-05-12,35001,3.386730788769601,3 days,0.2944983294582261
2020-05-13,35001,1.9142391414784696,3 days,0.2944983294582261
2020-05-14,35001,3.6812291182278263,3 days,0.2944983294582261
2020-05-15,35001,3.6812291182278263,3 days,0.2944983294582261
2020-05-16,35001,3.6812291182278263,3 days,0.14724916472911306
2020-05-17,35001,2.355986635665809,3 days,0.14724916472911306
2020-05-18,35001,2.061488306207583,3 days,0.14724916472911306
2020-05-19,35001,1.1779933178329045,3 days,0.14724916472911306
2020-05-20,35001,1.1779933178329045,3 days,0.0
2020-05-21,35001,1.0307441531037915,3 days,0.0
2020-05-22,35001,5.889966589164523,3 days,0.4417474941873392
2020-05-23,35001,0.0,3 days,0.4417474941873392
2020-05-24,35001,3.5339799534987133,3 days,0.2944983294582261
2020-05-25,35001,1.4724916472911307,3 days,0.0
2020-05-26,35001,2.2087374709366965,3 days,0.0
2020-05-27,35001,2.2087374709366965,3 days,0.0
2020-05-28,35001,3.092232459311375,3 days,0.14724916472911306
2020-05-29,35001,3.092232459311375,3 days,0.14724916472911306
2020-05-30,35001,2.7977341298531484,3 days,0.14724916472911306
2020-05-31,35001,1.7669899767493569,3 days,0.0
2020-06-01,35001,1.7669899767493569,3 days,0.0
2020-06-02,35001,1.7669899767493569,3 days,0.0
2020-06-03,35001,1.9142391414784696,3 days,0.0
2020-06-04,35001,2.7977341298531484,3 days,0.14724916472911306
2020-06-05,35001,2.7977341298531484,3 days,0.14724916472911306
2020-06-06,35001,2.355986635665809,3 days,0.14724916472911306
2020-06-07,35001,2.355986635665809,3 days,0.14724916472911306
2020-06-08,35001,2.355986635665809,3 days,0.0
2020-06-09,35001,1.7669899767493569,3 days,0.14724916472911306
2020-06-10,35001,1.619740812020244,3 days,0.14724916472911306
2020-06-11,35001,1.7669899767493569,3 days,0.14724916472911306
2020-06-12,35001,2.5032358003949224,3 days,0.0
2020-06-13,35001,2.5032358003949224,3 days,0.0
2020-06-14,35001,1.9142391414784696,3 days,0.14724916472911306
2020-06-15,35001,1.7669899767493569,3 days,0.14724916472911306
2020-06-16,35001,1.7669899767493569,3 days,0.0
2020-06-17,35001,1.7669899767493569,3 days,0.0
2020-06-18,35001,1.0307441531037915,3 days,0.0
2020-06-19,35001,1.0307441531037915,3 days,0.14724916472911306
2020-06-20,35001,2.2087374709366965,3 days,0.0
