datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-01-24,04001,0.0,3 days,0.0
2020-01-25,04001,0.0,3 days,0.0
2020-01-26,04001,0.0,3 days,0.0
2020-01-27,04001,0.0,3 days,0.0
2020-01-28,04001,0.0,3 days,0.0
2020-01-29,04001,0.0,3 days,0.0
2020-01-30,04001,0.0,3 days,0.0
2020-01-31,04001,0.0,3 days,0.0
2020-02-01,04001,0.0,3 days,0.0
2020-02-02,04001,0.0,3 days,0.0
2020-02-03,04001,0.0,3 days,0.0
2020-02-04,04001,0.0,3 days,0.0
2020-02-05,04001,0.0,3 days,0.0
2020-02-06,04001,0.0,3 days,0.0
2020-02-07,04001,0.0,3 days,0.0
2020-02-08,04001,0.0,3 days,0.0
2020-02-09,04001,0.0,3 days,0.0
2020-02-10,04001,0.0,3 days,0.0
2020-02-11,04001,0.0,3 days,0.0
2020-02-12,04001,0.0,3 days,0.0
2020-02-13,04001,0.0,3 days,0.0
2020-02-14,04001,0.0,3 days,0.0
2020-02-15,04001,0.0,3 days,0.0
2020-02-16,04001,0.0,3 days,0.0
2020-02-17,04001,0.0,3 days,0.0
2020-02-18,04001,0.0,3 days,0.0
2020-02-19,04001,0.0,3 days,0.0
2020-02-20,04001,0.0,3 days,0.0
2020-02-21,04001,0.0,3 days,0.0
2020-02-22,04001,0.0,3 days,0.0
2020-02-23,04001,0.0,3 days,0.0
2020-02-24,04001,0.0,3 days,0.0
2020-02-25,04001,0.0,3 days,0.0
2020-02-26,04001,0.0,3 days,0.0
2020-02-27,04001,0.0,3 days,0.0
2020-02-28,04001,0.0,3 days,0.0
2020-02-29,04001,0.0,3 days,0.0
2020-03-01,04001,0.0,3 days,0.0
2020-03-02,04001,0.0,3 days,0.0
2020-03-03,04001,0.0,3 days,0.0
2020-03-04,04001,0.0,3 days,0.0
2020-03-05,04001,0.0,3 days,0.0
2020-03-06,04001,0.0,3 days,0.0
2020-03-07,04001,0.0,3 days,0.0
2020-03-08,04001,0.0,3 days,0.0
2020-03-09,04001,0.0,3 days,0.0
2020-03-10,04001,0.0,3 days,0.0
2020-03-11,04001,0.0,3 days,0.0
2020-03-12,04001,0.0,3 days,0.0
2020-03-13,04001,0.0,3 days,0.0
2020-03-14,04001,0.0,3 days,0.0
2020-03-15,04001,0.0,3 days,0.0
2020-03-16,04001,0.0,3 days,0.0
2020-03-17,04001,0.0,3 days,0.0
2020-03-18,04001,0.0,3 days,0.0
2020-03-19,04001,0.0,3 days,0.0
2020-03-20,04001,0.0,3 days,0.0
2020-03-21,04001,0.0,3 days,0.0
2020-03-22,04001,0.0,3 days,0.0
2020-03-23,04001,1.3910720992669048,3 days,0.0
2020-03-24,04001,0.0,3 days,0.0
2020-03-25,04001,1.3910720992669048,3 days,0.0
2020-03-26,04001,2.7821441985338096,3 days,0.0
2020-03-27,04001,2.7821441985338096,3 days,0.0
2020-03-28,04001,2.7821441985338096,3 days,0.0
2020-03-29,04001,2.7821441985338096,3 days,0.0
2020-03-30,04001,2.7821441985338096,3 days,0.0
2020-03-31,04001,0.0,3 days,0.0
2020-04-01,04001,1.3910720992669048,3 days,0.0
2020-04-02,04001,0.0,3 days,0.0
2020-04-03,04001,0.0,3 days,0.0
2020-04-04,04001,0.0,3 days,0.0
2020-04-05,04001,4.173216297800715,3 days,0.0
2020-04-06,04001,4.173216297800715,3 days,0.0
2020-04-07,04001,4.173216297800715,3 days,0.0
2020-04-08,04001,4.173216297800715,3 days,0.0
2020-04-09,04001,8.34643259560143,3 days,0.0
2020-04-10,04001,8.34643259560143,3 days,0.0
2020-04-11,04001,15.301793091935954,3 days,0.0
2020-04-12,04001,8.34643259560143,3 days,0.0
2020-04-13,04001,15.301793091935954,3 days,0.0
2020-04-14,04001,11.128576794135238,3 days,0.0
2020-04-15,04001,18.083937290469766,3 days,0.0
2020-04-16,04001,11.128576794135238,3 days,0.0
2020-04-17,04001,18.083937290469766,3 days,0.0
2020-04-18,04001,31.99465828313882,3 days,0.0
2020-04-19,04001,31.99465828313882,3 days,0.0
2020-04-20,04001,33.38573038240572,3 days,0.0
2020-04-21,04001,33.38573038240572,3 days,0.0
2020-04-22,04001,33.38573038240572,3 days,0.0
2020-04-23,04001,33.38573038240572,3 days,0.0
2020-04-24,04001,38.950018779473346,3 days,0.0
2020-04-25,04001,38.950018779473346,3 days,0.0
2020-04-26,04001,30.603586183871908,3 days,0.0
2020-04-27,04001,30.603586183871908,3 days,0.0
2020-04-28,04001,30.603586183871908,3 days,0.0
2020-04-29,04001,25.03929778680429,3 days,0.0
2020-04-30,04001,25.03929778680429,3 days,0.0
2020-05-01,04001,40.341090878740246,3 days,0.0
2020-05-02,04001,40.341090878740246,3 days,0.0
2020-05-03,04001,40.341090878740246,3 days,0.0
2020-05-04,04001,31.99465828313882,3 days,0.0
2020-05-05,04001,31.99465828313882,3 days,0.0
2020-05-06,04001,37.558946680206425,3 days,0.0
2020-05-07,04001,37.558946680206425,3 days,0.0
2020-05-08,04001,50.07859557360858,3 days,0.0
2020-05-09,04001,54.251811871409295,3 days,0.0
2020-05-10,04001,54.251811871409295,3 days,0.0
2020-05-11,04001,15.301793091935954,3 days,0.0
2020-05-12,04001,15.301793091935954,3 days,0.0
2020-05-13,04001,23.648225687537387,3 days,1.3910720992669048
2020-05-14,04001,58.42502816921,3 days,1.3910720992669048
2020-05-15,04001,94.59290275014955,3 days,1.3910720992669048
2020-05-16,04001,58.42502816921,3 days,5.564288397067619
2020-05-17,04001,48.68752347434168,3 days,5.564288397067619
2020-05-18,04001,26.430369886071194,3 days,0.0
2020-05-19,04001,26.430369886071194,3 days,0.0
2020-05-20,04001,48.68752347434168,3 days,0.0
2020-05-21,04001,57.0339560699431,3 days,0.0
2020-05-22,04001,57.0339560699431,3 days,1.3910720992669048
2020-05-23,04001,25.03929778680429,3 days,1.3910720992669048
2020-05-24,04001,25.03929778680429,3 days,1.3910720992669048
2020-05-25,04001,6.955360496334525,3 days,1.3910720992669048
2020-05-26,04001,31.99465828313882,3 days,0.0
2020-05-27,04001,31.99465828313882,3 days,0.0
2020-05-28,04001,50.07859557360858,3 days,0.0
2020-05-29,04001,55.6428839706762,3 days,2.7821441985338096
2020-05-30,04001,107.1125516435517,3 days,2.7821441985338096
2020-05-31,04001,107.1125516435517,3 days,1.3910720992669048
2020-06-01,04001,45.90537927580787,3 days,1.3910720992669048
