datetimeobject,COUNTYGEOID,positiveIRM,period,deathIRM
2020-03-11,24001,0.0,3 days,0.0
2020-03-12,24001,0.0,3 days,0.0
2020-03-13,24001,0.0,3 days,0.0
2020-03-14,24001,0.0,3 days,0.0
2020-03-15,24001,0.0,3 days,0.0
2020-03-16,24001,0.0,3 days,0.0
2020-03-17,24001,0.0,3 days,0.0
2020-03-18,24001,0.0,3 days,0.0
2020-03-19,24001,0.0,3 days,0.0
2020-03-20,24001,0.0,3 days,0.0
2020-03-21,24001,0.0,3 days,0.0
2020-03-22,24001,0.0,3 days,0.0
2020-03-23,24001,0.0,3 days,0.0
2020-03-24,24001,0.0,3 days,0.0
2020-03-25,24001,0.0,3 days,0.0
2020-03-26,24001,0.0,3 days,0.0
2020-03-27,24001,0.0,3 days,0.0
2020-03-28,24001,0.0,3 days,0.0
2020-03-29,24001,0.0,3 days,0.0
2020-03-30,24001,0.0,3 days,0.0
2020-03-31,24001,0.0,3 days,0.0
2020-04-01,24001,0.0,3 days,0.0
2020-04-02,24001,0.0,3 days,0.0
2020-04-03,24001,1.4201317882299478,3 days,0.0
2020-04-04,24001,1.4201317882299478,3 days,0.0
2020-04-05,24001,1.4201317882299478,3 days,0.0
2020-04-06,24001,1.4201317882299478,3 days,0.0
2020-04-07,24001,0.0,3 days,0.0
2020-04-08,24001,0.0,3 days,0.0
2020-04-09,24001,0.0,3 days,0.0
2020-04-10,24001,2.840263576459896,3 days,0.0
2020-04-11,24001,2.840263576459896,3 days,0.0
2020-04-12,24001,2.840263576459896,3 days,0.0
2020-04-13,24001,2.840263576459896,3 days,0.0
2020-04-14,24001,2.840263576459896,3 days,0.0
2020-04-15,24001,2.840263576459896,3 days,0.0
2020-04-16,24001,2.840263576459896,3 days,0.0
2020-04-17,24001,4.260395364689844,3 days,0.0
2020-04-18,24001,8.520790729379687,3 days,0.0
2020-04-19,24001,8.520790729379687,3 days,0.0
2020-04-20,24001,0.0,3 days,0.0
2020-04-21,24001,0.0,3 days,0.0
2020-04-22,24001,2.840263576459896,3 days,1.4201317882299478
2020-04-23,24001,26.982503976369014,3 days,1.4201317882299478
2020-04-24,24001,18.46171324698932,3 days,0.0
2020-04-25,24001,21.301976823449216,3 days,0.0
2020-04-26,24001,18.46171324698932,3 days,0.0
2020-04-27,24001,11.361054305839582,3 days,0.0
2020-04-28,24001,1.4201317882299478,3 days,1.4201317882299478
2020-04-29,24001,1.4201317882299478,3 days,1.4201317882299478
2020-04-30,24001,1.4201317882299478,3 days,1.4201317882299478
2020-05-01,24001,1.4201317882299478,3 days,1.4201317882299478
