datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-03-11,09001,0.0,3 days,0.0,0.0,0.21201443394266284
2020-03-12,09001,0.0,3 days,0.0,300.0,0.4240288678853257
2020-03-13,09001,0.0,3 days,0.0,300.0,0.8480577357706514
2020-03-14,09001,0.0,3 days,0.0,275.0,1.5901082545699712
2020-03-15,09001,0.0,3 days,0.0,87.49999999999999,1.5901082545699712
2020-03-16,09001,0.0,3 days,0.0,93.33333333333339,3.0742092921686117
2020-03-17,09001,0.0,3 days,0.0,219.99999999999997,5.088346414623907
2020-03-18,09001,0.0,3 days,0.10600721697133142,137.93103448275855,7.314497971021867
2020-03-19,09001,0.0,3 days,0.3180216509139942,112.50000000000001,10.812736131075804
2020-03-20,09001,300.0,3 days,0.4240288678853257,76.81159420289855,12.93288047050243
2020-03-21,09001,33.33333333333336,3 days,0.4240288678853257,19.607843137254893,12.93288047050243
2020-03-22,09001,25.0,3 days,0.5300360848566571,70.49180327868858,22.049501130036937
2020-03-23,09001,49.99999999999998,3 days,0.6360433018279884,121.31147540983606,28.621948582259478
2020-03-24,09001,39.99999999999998,3 days,0.7420505187993198,84.61538461538456,40.70677131699126
2020-03-25,09001,100.0,3 days,1.2720866036559768,102.22222222222224,57.87994046634695
2020-03-26,09001,85.71428571428574,3 days,1.3780938206273083,58.07291666666668,64.34638070159816
2020-03-27,09001,25.000000000000014,3 days,1.5901082545699712,37.72893772893776,79.71742716244124
2020-03-28,09001,53.846153846153854,3 days,2.1201443394266284,49.58813838550249,96.25455300996893
2020-03-29,09001,39.99999999999999,3 days,2.2261515563979595,65.55851063829783,131.9789851293076
2020-03-30,09001,4.999999999999984,3 days,2.2261515563979595,59.140969162995574,153.18042852357388
2020-03-31,09001,80.95238095238096,3 days,4.028274244910594,50.2008032128514,198.23349573638973
2020-04-01,09001,119.04761904761907,3 days,4.876331980681245,37.43944636678203,210.5303329050642
2020-04-02,09001,71.0526315789474,3 days,6.890469103136543,14.01069518716576,226.00738658287852
2020-04-03,09001,63.04347826086958,3 days,7.950541272849857,36.75730110775428,287.91560129413614
2020-04-04,09001,32.30769230769225,3 days,9.1166206595345,32.45778611632271,299.3643807270399
2020-04-05,09001,27.99999999999997,3 days,10.176692829247814,12.297496318114865,323.3220117625608
2020-04-06,09001,17.441860465116303,3 days,10.706728914104472,31.692634560906566,394.2408399163816
2020-04-07,09001,37.49999999999999,3 days,13.992952640215744,35.60655737704914,438.4458493934266
2020-04-08,09001,30.69306930693068,3 days,13.992952640215744,11.212691583759021,438.4458493934266
2020-04-09,09001,34.848484848484844,3 days,18.869284620896988,18.036750483559054,517.5272332540401
2020-04-10,09001,53.78787878787885,3 days,21.519465045180283,25.24177949709866,549.1173839114966
2020-04-11,09001,23.59550561797754,3 days,23.32158773369291,10.753789430561215,573.1810221639889
2020-04-12,09001,22.167487684729032,3 days,26.28978980889019,6.833976833976833,586.643938719348
2020-04-13,09001,19.090909090909097,3 days,27.77389084648883,11.041242833364139,636.4673306958737
2020-04-14,09001,15.725806451612893,3 days,30.424071270772114,12.269606071557668,658.6228390428821
2020-04-15,09001,39.31297709923663,3 days,38.69263419453596,7.928047968021344,686.9267659742276
2020-04-16,09001,41.46341463414632,3 days,43.038930090360545,9.705456301303695,722.5451908765948
2020-04-17,09001,16.438356164383563,3 days,45.05306721281585,10.277777777777779,757.5275724771343
2020-04-18,09001,6.403940886699532,3 days,45.79511773161517,8.025234741784054,780.5311385599132
2020-04-19,09001,5.176470588235301,3 days,47.38522598618514,4.030226700251894,788.0576509648778
2020-04-20,09001,18.518518518518523,3 days,54.27569508932169,12.99741953008284,881.9800452014773
2020-04-21,09001,21.700223713646533,3 days,57.66792603240429,13.962873284907168,898.0931421811197
2020-04-22,09001,14.062499999999988,3 days,61.90821471125754,18.78605769230769,1047.6693253276683
2020-04-23,09001,13.05147058823529,3 days,65.19443843736882,18.130311614730875,1060.9202274490847
2020-04-24,09001,13.356164383561648,3 days,70.1767776350214,3.480724476373583,1084.1358079658064
2020-04-25,09001,12.032520325203254,3 days,73.03897249324734,3.6470823341326892,1099.6128616436206
2020-04-26,09001,6.7975830815709894,3 days,74.9471023987313,2.9529676346924623,1116.1499874911483
2020-04-27,09001,5.515239477503625,3 days,77.06724673815793,3.7597609177672924,1140.95567626244
2020-04-28,09001,5.657708628005665,3 days,79.18739107758456,3.2766644505651255,1152.7224773462578
2020-04-29,09001,6.464924346629971,3 days,82.0495859358105,2.06262194555421,1164.4892784300755
2020-04-30,09001,8.433734939759042,3 days,85.86584574677845,3.862424130954556,1197.2455084742169
2020-05-01,09001,8.397932816537484,3 days,88.94005503894705,5.707783340919441,1230.9558034711004
2020-05-02,09001,6.790123456790111,3 days,91.69624268020166,4.489109261554814,1250.991167478682
2020-05-03,09001,3.098927294398089,3 days,91.69624268020166,1.6276265931794682,1250.991167478682
2020-05-04,09001,5.202312138728334,3 days,96.46656744391159,3.7623930175408806,1298.058371813953
2020-05-05,09001,8.09248554913295,3 days,99.11674786819486,4.736886704516579,1310.2492017656564
2020-05-06,09001,4.615384615384613,3 days,100.9188705567075,1.7149857084524323,1320.3198873779327
2020-05-07,09001,4.491978609625681,3 days,103.5690509809908,2.5809061488672924,1344.0655039795108
2020-05-08,09001,5.672268907563039,3 days,106.64326027315941,3.404255319148951,1365.2669473737774
2020-05-09,09001,4.09416581371546,3 days,107.80933965984406,2.768357125956328,1381.2740371364484
2020-05-10,09001,1.7892644135188684,3 days,108.55139017864336,2.7719543442813652,1403.1115238325424
2020-05-11,09001,1.6715830875122828,3 days,109.61146234835668,2.1642363775901483,1411.1680723223635
2020-05-12,09001,2.148437500000009,3 days,110.88354895201266,1.903898458748876,1429.825342509318
2020-05-13,09001,3.288201160541583,3 days,113.21570772538195,2.433894230769243,1445.514410621075
2020-05-14,09001,4.493307839388134,3 days,115.86588814966522,2.580071174377226,1466.7158540153414
2020-05-15,09001,3.8389513108614057,3 days,117.56200362120651,2.735406277500716,1485.0551025513814
