datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-03-11,25001,0.0,3 days,0.0,0.0,0.0
2020-03-12,25001,0.0,3 days,0.0,0.0,0.4695056105920466
2020-03-13,25001,0.0,3 days,0.0,0.0,0.9390112211840932
2020-03-14,25001,0.0,3 days,0.0,300.0,1.8780224423681864
2020-03-15,25001,0.0,3 days,0.0,200.00000000000006,2.81703366355228
2020-03-16,25001,0.0,3 days,0.0,175.00000000000003,5.164561716512512
2020-03-17,25001,0.0,3 days,0.0,216.6666666666666,8.920606601248885
2020-03-18,25001,0.0,3 days,0.0,209.09090909090912,15.963190760129585
2020-03-19,25001,0.0,3 days,0.0,157.89473684210526,23.005774919010282
2020-03-20,25001,0.0,3 days,0.0,91.1764705882353,30.517864688483034
2020-03-21,25001,0.0,3 days,0.0,55.102040816326536,35.68242640499554
2020-03-22,25001,0.0,3 days,0.0,29.230769230769187,39.43847128973191
2020-03-23,25001,0.0,3 days,0.0,46.05263157894739,52.115122775717175
2020-03-24,25001,0.0,3 days,0.0,74.99999999999999,69.01732475703083
2020-03-25,25001,0.0,3 days,0.4695056105920466,57.657657657657666,82.16348185360816
2020-03-26,25001,0.0,3 days,0.4695056105920466,44.217687074829946,99.53518944551386
2020-03-27,25001,100.0,3 days,0.9390112211840932,46.28571428571428,120.19343631156393
2020-03-28,25001,100.0,3 days,0.9390112211840932,30.66037735849059,130.0530541339969
2020-03-29,25001,0.0,3 days,0.9390112211840932,12.109374999999995,134.74811023991737
2020-03-30,25001,0.0,3 days,0.9390112211840932,15.16245487364619,149.77228977886284
2020-03-31,25001,0.0,3 days,0.9390112211840932,20.905923344947738,162.91844687544017
2020-04-01,25001,50.00000000000001,3 days,1.4085168317761398,18.495297805642675,177.47312080379365
2020-04-02,25001,50.00000000000001,3 days,1.4085168317761398,17.86743515850147,192.0277947321471
2020-04-03,25001,100.00000000000004,3 days,2.81703366355228,10.317460317460293,195.78383961688343
2020-04-04,25001,100.00000000000004,3 days,2.81703366355228,5.623471882640554,202.8264237757641
2020-04-05,25001,0.0,3 days,2.81703366355228,4.55635491606715,204.70444621813232
2020-04-06,25001,16.666666666666647,3 days,3.2865392741443262,4.629629629629622,212.21653598760503
2020-04-07,25001,66.66666666666661,3 days,4.695056105920465,9.633027522935768,224.42368186299825
2020-04-08,25001,57.14285714285713,3 days,5.164561716512512,9.73451327433629,232.8747828536551
2020-04-09,25001,10.00000000000001,3 days,5.164561716512512,6.694560669456047,239.4478614019437
2020-04-10,25001,0.0,3 days,5.164561716512512,8.66935483870967,253.06352410911308
2020-04-11,25001,36.36363636363636,3 days,7.0425841588806986,7.450980392156882,257.2890746044415
2020-04-12,25001,45.45454545454546,3 days,7.5120897694727455,3.7105751391465613,262.453636320954
2020-04-13,25001,6.666666666666673,3 days,7.5120897694727455,3.8321167883211746,267.1486924268745
2020-04-14,25001,0.0,3 days,7.5120897694727455,6.261180679785342,278.88633269167565
2020-04-15,25001,12.499999999999998,3 days,8.451100990656839,9.666080843585263,292.97150100943713
2020-04-16,25001,12.499999999999998,3 days,8.451100990656839,8.249158249158263,301.89210761068597
2020-04-17,25001,0.0,3 days,8.451100990656839,12.820512820512795,330.5319498568008
2020-04-18,25001,11.1111111111111,3 days,9.39011221184093,10.419906687402785,333.34898352035304
2020-04-19,25001,16.66666666666665,3 days,9.859617822432977,1.420454545454543,335.22700596272125
2020-04-20,25001,4.999999999999996,3 days,9.859617822432977,2.8169014084506996,342.73909573219396
2020-04-21,25001,4.761904761904776,3 days,10.329123433025025,4.48179271708683,350.2511855016667
2020-04-22,25001,4.761904761904776,3 days,10.329123433025025,5.753424657534273,362.45833137706
2020-04-23,25001,0.0,3 days,10.329123433025025,8.310991957104562,379.36053335837363
2020-04-24,25001,0.0,3 days,10.329123433025025,5.6994818652849695,383.11657824311004
2020-04-25,25001,68.18181818181819,3 days,17.371707591905725,4.331683168316809,395.7932297290952
2020-04-26,25001,68.18181818181819,3 days,17.371707591905725,3.7990196078431095,397.6712521714634
2020-04-27,25001,5.405405405405399,3 days,18.310718813089817,1.8979833926453487,403.30531949856805
2020-04-28,25001,5.405405405405399,3 days,18.310718813089817,3.187721369539549,410.3479036574486
2020-04-29,25001,2.564102564102552,3 days,18.78022442368186,8.963911525029076,439.45725151415553
2020-04-30,25001,10.256410256410225,3 days,20.188741255457998,8.810068649885613,446.49983567303633
2020-05-01,25001,12.499999999999996,3 days,21.127752476642094,4.273504273504305,458.23747593783753
2020-05-02,25001,6.976744186046515,3 days,21.597258087234138,4.311251314405875,465.7495657073102
2020-05-03,25001,4.44444444444444,3 days,22.066763697826186,2.1516393442622737,468.0970937602704
2020-05-04,25001,2.1739130434782674,3 days,22.066763697826186,2.31854838709678,476.5481947509273
2020-05-05,25001,2.1276595744681233,3 days,22.53626930841824,3.6108324974924786,484.9992957415841
2020-05-06,25001,17.021276595744666,3 days,25.822808582562555,3.448275862068971,492.98089112164894
2020-05-07,25001,18.749999999999936,3 days,26.761819803746647,3.4849951597289457,501.9014977228978
2020-05-08,25001,10.90909090909094,3 days,28.639842246114842,3.4285714285714293,509.8830931029626
2020-05-09,25001,15.789473684210563,3 days,30.987370299075074,2.245088868101018,513.1696323771068
2020-05-10,25001,11.47540983606558,3 days,31.92638152025917,1.197053406998154,515.9866660406592
2020-05-11,25001,10.606060606060602,3 days,34.2739095732194,2.378774016468449,525.3767782525001
2020-05-12,25001,7.3529411764705745,3 days,34.2739095732194,3.45768880800726,533.8278792431569
2020-05-13,25001,8.219178082191783,3 days,37.09094323677168,3.0384271671134933,541.3399690126297
2020-05-14,25001,12.328767123287674,3 days,38.49946006854782,2.1987686895338787,545.5655195079581
2020-05-15,25001,8.860759493670862,3 days,40.377482510915996,1.6478751084128374,550.2605756138786
2020-05-16,25001,9.756097560975636,3 days,42.2555049532842,1.0327022375215253,551.1995868350627
2020-05-17,25001,8.139534883720946,3 days,43.66402178506033,0.9385665529010387,555.4251373303912
2020-05-18,25001,5.555555555555494,3 days,44.60303300624441,3.0664395229982864,568.1017888163764
2020-05-19,25001,3.2258064516129368,3 days,45.07253861683648,3.803888419273027,576.5528898070332
2020-05-20,25001,3.157894736842139,3 days,46.011549838020564,4.628099173553706,594.3941030095309
2020-05-21,25001,3.1249999999999845,3 days,46.481055448612615,3.82736156351792,598.6196535048595
2020-05-22,25001,5.102040816326537,3 days,48.3590778909808,1.65876777251188,604.2537208319641
2020-05-23,25001,8.080808080808088,3 days,50.23710033334899,1.176470588235292,605.6622376637401
2020-05-24,25001,5.825242718446603,3 days,51.17611155453308,0.4662004662004615,607.0707544955163
2020-05-25,25001,2.803738317756967,3 days,51.64561716512511,0.38759689922480545,608.0097657167004
2020-05-26,25001,0.9174311926605182,3 days,51.64561716512511,0.7733952049497278,611.7658106014368
2020-05-27,25001,0.9090909090909463,3 days,52.115122775717175,0.8494208494208441,613.1743274332129
2020-05-28,25001,4.545454545454566,3 days,53.99314521808535,0.8442056792018365,616.9303723179493
2020-05-29,25001,3.603603603603586,3 days,53.99314521808535,0.765696784073487,617.8693835391332
2020-05-30,25001,0.0,3 days,53.99314521808535,0.3044140030441247,618.8083947603174
2020-05-31,25001,0.8695652173913002,3 days,54.4626508286774,0.4559270516717649,620.6864172026857
2020-06-01,25001,2.608695652173927,3 days,55.4016620498615,0.6069802731411292,622.5644396450538
2020-06-02,25001,1.7241379310345009,3 days,55.4016620498615,0.45385779122537484,623.5034508662377
2020-06-03,25001,2.5423728813559325,3 days,56.81017888163764,0.6033182503770984,626.3204845297903
2020-06-04,25001,2.5423728813559325,3 days,56.81017888163764,0.7530120481927882,628.1985069721583
2020-06-05,25001,1.6528925619834505,3 days,57.74919010282172,0.44977511244373725,629.1375181933423
2020-06-06,25001,1.6528925619834505,3 days,57.74919010282172,0.29895366218236485,630.0765294145265
2020-06-07,25001,0.0,3 days,57.74919010282172,0.22388059701493224,630.5460350251185
2020-06-08,25001,0.0,3 days,57.74919010282172,0.5216095380029725,633.3630686886708
2020-06-09,25001,0.0,3 days,57.74919010282172,0.5212211466865326,633.8325742992629
2020-06-10,25001,3.2520325203252005,3 days,59.627212545189906,0.5930318754633302,637.1191135734073
2020-06-11,25001,3.2520325203252005,3 days,59.627212545189906,1.0370370370370567,640.4056528475517
2020-06-12,25001,0.0,3 days,59.627212545189906,0.6632277081798107,641.3446640687357
2020-06-13,25001,0.7874015748031697,3 days,60.096718155781964,0.1466275659823973,641.3446640687357
2020-06-14,25001,2.3622047244094855,3 days,61.03572937696607,0.146412884333814,642.2836752899198
2020-06-15,25001,1.562500000000016,3 days,61.03572937696607,0.219619326500721,642.7531809005118
2020-06-16,25001,0.7692307692307421,3 days,61.5052349875581,0.36549707602339115,644.63120334288
2020-06-17,25001,2.307692307692273,3 days,62.444246208742186,0.6574141709276868,646.9787313958402
2020-06-18,25001,3.053435114503814,3 days,63.38325742992628,0.5826656955571624,648.3872482276163
2020-06-19,25001,2.255639097744373,3 days,63.85276304051833,0.4354136429608085,649.7957650593925
2020-06-20,25001,0.7407407407407485,3 days,63.85276304051833,0.21723388848661054,649.7957650593925
2020-06-21,25001,0.7352941176470553,3 days,64.32226865111038,0.07225433526011198,650.2652706699845
2020-06-22,25001,1.4705882352941217,3 days,64.79177426170243,0.28901734104048293,651.6737875017608
2020-06-23,25001,2.1897810218978107,3 days,65.73078548288652,0.2888086642599483,652.1432931123528
2020-06-24,25001,1.4492753623188337,3 days,65.73078548288652,0.1440922190201482,652.6127987229447
2020-06-25,25001,0.7142857142857217,3 days,66.20029109347857,0.21598272138227853,653.5518099441289
2020-06-26,25001,2.1428571428571437,3 days,67.13930231466266,0.431654676259006,655.4298323864971
2020-06-27,25001,1.41843971631205,3 days,67.13930231466266,0.4310344827586164,656.3688436076811
2020-06-28,25001,0.6993006993007066,3 days,67.60880792525471,0.14326647564469194,656.3688436076811
2020-06-29,25001,0.6993006993007066,3 days,67.60880792525471,0.2145922746781008,657.7773604394572
2020-06-30,25001,0.0,3 days,67.60880792525471,0.7868383404864042,661.5334053241936
2020-07-01,25001,0.6944444444444305,3 days,68.07831353584675,0.9992862241256263,664.3504389877459
2020-07-02,25001,2.0833333333333126,3 days,69.01732475703083,0.5677785663591258,665.28945020893
2020-07-03,25001,2.0689655172414008,3 days,69.4868303676229,0.21201413427562485,665.758955819522
2020-07-04,25001,1.3605442176870892,3 days,69.95633597821494,0.14114326040932546,666.2284614301142
