datetimeobject,COUNTYGEOID,deathRateDelta,period,deathRate,positiveRateDelta,positiveRate
2020-01-24,15001,0.0,3 days,0.0,0.0,0.0
2020-01-25,15001,0.0,3 days,0.0,0.0,0.0
2020-01-26,15001,0.0,3 days,0.0,0.0,0.0
2020-01-27,15001,0.0,3 days,0.0,0.0,0.0
2020-01-28,15001,0.0,3 days,0.0,0.0,0.0
2020-01-29,15001,0.0,3 days,0.0,0.0,0.0
2020-01-30,15001,0.0,3 days,0.0,0.0,0.0
2020-01-31,15001,0.0,3 days,0.0,0.0,0.0
2020-02-01,15001,0.0,3 days,0.0,0.0,0.0
2020-02-02,15001,0.0,3 days,0.0,0.0,0.0
2020-02-03,15001,0.0,3 days,0.0,0.0,0.0
2020-02-04,15001,0.0,3 days,0.0,0.0,0.0
2020-02-05,15001,0.0,3 days,0.0,0.0,0.0
2020-02-06,15001,0.0,3 days,0.0,0.0,0.0
2020-02-07,15001,0.0,3 days,0.0,0.0,0.0
2020-02-08,15001,0.0,3 days,0.0,0.0,0.0
2020-02-09,15001,0.0,3 days,0.0,0.0,0.0
2020-02-10,15001,0.0,3 days,0.0,0.0,0.0
2020-02-11,15001,0.0,3 days,0.0,0.0,0.0
2020-02-12,15001,0.0,3 days,0.0,0.0,0.0
2020-02-13,15001,0.0,3 days,0.0,0.0,0.0
2020-02-14,15001,0.0,3 days,0.0,0.0,0.0
2020-02-15,15001,0.0,3 days,0.0,0.0,0.0
2020-02-16,15001,0.0,3 days,0.0,0.0,0.0
2020-02-17,15001,0.0,3 days,0.0,0.0,0.0
2020-02-18,15001,0.0,3 days,0.0,0.0,0.0
2020-02-19,15001,0.0,3 days,0.0,0.0,0.0
2020-02-20,15001,0.0,3 days,0.0,0.0,0.0
2020-02-21,15001,0.0,3 days,0.0,0.0,0.0
2020-02-22,15001,0.0,3 days,0.0,0.0,0.0
2020-02-23,15001,0.0,3 days,0.0,0.0,0.0
2020-02-24,15001,0.0,3 days,0.0,0.0,0.0
2020-02-25,15001,0.0,3 days,0.0,0.0,0.0
2020-02-26,15001,0.0,3 days,0.0,0.0,0.0
2020-02-27,15001,0.0,3 days,0.0,0.0,0.0
2020-02-28,15001,0.0,3 days,0.0,0.0,0.0
2020-02-29,15001,0.0,3 days,0.0,0.0,0.0
2020-03-01,15001,0.0,3 days,0.0,0.0,0.0
2020-03-02,15001,0.0,3 days,0.0,0.0,0.0
2020-03-03,15001,0.0,3 days,0.0,0.0,0.0
2020-03-04,15001,0.0,3 days,0.0,0.0,0.0
2020-03-05,15001,0.0,3 days,0.0,0.0,0.0
2020-03-06,15001,0.0,3 days,0.0,0.0,0.0
2020-03-07,15001,0.0,3 days,0.0,0.0,0.0
2020-03-08,15001,0.0,3 days,0.0,0.0,0.0
2020-03-09,15001,0.0,3 days,0.0,0.0,0.0
2020-03-10,15001,0.0,3 days,0.0,0.0,0.0
2020-03-11,15001,0.0,3 days,0.0,0.0,0.0
2020-03-12,15001,0.0,3 days,0.0,0.0,0.0
2020-03-13,15001,0.0,3 days,0.0,0.0,0.0
2020-03-14,15001,0.0,3 days,0.0,0.0,0.0
2020-03-15,15001,0.0,3 days,0.0,0.0,0.0
2020-03-16,15001,0.0,3 days,0.0,0.0,0.0
2020-03-17,15001,0.0,3 days,0.0,0.0,0.0
2020-03-18,15001,0.0,3 days,0.0,0.0,0.0
2020-03-19,15001,0.0,3 days,0.0,0.0,0.0
2020-03-20,15001,0.0,3 days,0.0,0.0,0.0
2020-03-21,15001,0.0,3 days,0.0,0.0,0.0
2020-03-22,15001,0.0,3 days,0.0,0.0,0.0
2020-03-23,15001,0.0,3 days,0.0,0.0,0.9924917995365062
2020-03-24,15001,0.0,3 days,0.0,0.0,0.9924917995365062
2020-03-25,15001,0.0,3 days,0.0,0.0,0.9924917995365062
2020-03-26,15001,0.0,3 days,0.0,100.0,1.9849835990730125
2020-03-27,15001,0.0,3 days,0.0,150.00000000000006,2.481229498841266
2020-03-28,15001,0.0,3 days,0.0,150.00000000000006,4.962458997682532
2020-03-29,15001,0.0,3 days,0.0,100.0,4.962458997682532
2020-03-30,15001,0.0,3 days,0.0,20.00000000000002,5.954950797219039
2020-03-31,15001,0.0,3 days,0.0,50.0,7.443688496523798
2020-04-01,15001,0.0,3 days,0.0,24.999999999999975,7.443688496523798
2020-04-02,15001,0.0,3 days,0.0,19.999999999999986,8.932426195828556
2020-04-03,15001,0.0,3 days,0.0,33.333333333333336,9.924917995365064
2020-04-04,15001,0.0,3 days,0.0,22.22222222222225,10.917409794901571
2020-04-05,15001,0.0,3 days,0.0,10.00000000000001,10.917409794901571
2020-04-06,15001,0.0,3 days,0.0,4.545454545454509,11.41365569466982
2020-04-07,15001,0.0,3 days,0.0,4.545454545454509,11.41365569466982
2020-04-08,15001,0.0,3 days,0.0,0.0,11.41365569466982
2020-04-09,15001,0.0,3 days,0.0,21.73913043478263,13.894885193511088
2020-04-10,15001,0.0,3 days,0.0,21.73913043478263,13.894885193511088
2020-04-11,15001,0.0,3 days,0.0,10.714285714285706,15.383622892815847
2020-04-12,15001,0.0,3 days,0.0,39.28571428571431,19.353590090961877
2020-04-13,15001,0.0,3 days,0.0,29.032258064516146,19.849835990730128
2020-04-14,15001,0.0,3 days,0.0,5.1282051282051055,20.34608189049838
